texto,categoria
documento asociado a contrato laboral,Talento_Humano
se requiere acta de comité institucional,Administrativo
solicitud relacionada con factura de pago institucional,Financiero
solicitud relacionada con balance general financiero,Financiero
se requiere registro de calificaciones,Academico
documento asociado a solicitud de paz y salvo,Academico
documento asociado a hoja de vida institucional,Talento_Humano
se requiere acta de grado universitario,Academico
documento asociado a solicitud de presupuesto anual,Financiero
registro de calificaciones interno,Academico
proceso correspondiente a informe de tesorería,Financiero
proceso correspondiente a acuerdo jurídico,Juridico
documento asociado a matrícula académica ordinaria,Academico
se requiere comprobante de egreso,Financiero
se requiere afiliación de seguridad social,Talento_Humano
solicitud de permisos laborales prioritario,Talento_Humano
se requiere resolución jurídica,Juridico
se requiere circular administrativa general,Administrativo
documento asociado a evaluación de desempeño,Talento_Humano
urgente plan operativo institucional,Administrativo
documento asociado a solicitud de presupuesto anual,Financiero
se requiere documento legal contractual,Juridico
externo plan operativo institucional,Administrativo
solicitud relacionada con contrato laboral,Talento_Humano
acta de grado universitario oficial,Academico
control de cartera vencida interno,Financiero
general resolución jurídica,Juridico
certificado de estudios confidencial,Academico
oficial acta de grado universitario,Academico
proceso correspondiente a incapacidad médica laboral,Talento_Humano
derecho de petición prioritario,Juridico
se requiere solicitud de certificado académico,Academico
externo contrato laboral,Talento_Humano
institucional evaluación de desempeño,Talento_Humano
solicitud administrativa interna urgente,Administrativo
documento asociado a solicitud de presupuesto anual,Financiero
documento asociado a reporte de notas semestrales,Academico
institucional reporte contable mensual,Financiero
evaluación de desempeño externo,Talento_Humano
prioritario estado financiero trimestral,Financiero
proceso correspondiente a solicitud de paz y salvo,Academico
externo reporte de nómina,Talento_Humano
solicitud relacionada con informe de tesorería,Financiero
proceso disciplinario confidencial,Juridico
proceso correspondiente a comprobante de egreso,Financiero
se requiere proceso de selección,Talento_Humano
reporte de nómina general,Talento_Humano
estado financiero trimestral institucional,Financiero
solicitud relacionada con reporte de nómina,Talento_Humano
solicitud relacionada con evaluación de desempeño,Talento_Humano
comunicado organizacional interno,Administrativo
urgente solicitud de permisos laborales,Talento_Humano
documento asociado a orden de pago administrativa,Financiero
documento asociado a concepto jurídico institucional,Juridico
urgente registro documental interno,Administrativo
solicitud de certificado académico general,Academico
reporte de notas semestrales externo,Academico
confidencial comunicado organizacional,Administrativo
plan operativo institucional institucional,Administrativo
solicitud relacionada con certificado de estudios,Academico
documento asociado a acción de tutela,Juridico
proceso correspondiente a factura de pago institucional,Financiero
proceso correspondiente a reporte contable mensual,Financiero
historial académico del estudiante interno,Academico
proceso correspondiente a matrícula académica ordinaria,Academico
urgente solicitud de certificado académico,Academico
documento asociado a reporte de ingresos económicos,Financiero
proceso correspondiente a reporte de nómina,Talento_Humano
proceso correspondiente a reporte de ingresos económicos,Financiero
hoja de vida institucional externo,Talento_Humano
proceso correspondiente a comprobante de egreso,Financiero
institucional cancelación de semestre académico,Academico
se requiere solicitud de permisos laborales,Talento_Humano
prioritario reporte de notas semestrales,Academico
solicitud relacionada con certificación laboral,Talento_Humano
documento asociado a orden de pago administrativa,Financiero
incapacidad médica laboral confidencial,Talento_Humano
general comunicado organizacional,Administrativo
proceso correspondiente a acta de grado universitario,Academico
se requiere proceso de selección,Talento_Humano
acta de grado universitario urgente,Academico
documento asociado a acta de comité institucional,Administrativo
oficial acción de tutela,Juridico
proceso correspondiente a reporte de gestión administrativa,Administrativo
documento asociado a concepto jurídico institucional,Juridico
proceso correspondiente a demanda administrativa,Juridico
se requiere acta de reunión administrativa,Administrativo
prioritario acuerdo jurídico,Juridico
documento asociado a cancelación de semestre académico,Academico
solicitud relacionada con reporte de notas semestrales,Academico
prioritario solicitud de permisos laborales,Talento_Humano
certificación laboral urgente,Talento_Humano
se requiere historial académico del estudiante,Academico
solicitud de homologación de materias oficial,Academico
documento asociado a afiliación de seguridad social,Talento_Humano
proceso correspondiente a solicitud de homologación de materias,Academico
se requiere reporte contable mensual,Financiero
acción de tutela urgente,Juridico
documento asociado a circular administrativa general,Administrativo
notificación judicial interno,Juridico
documento asociado a memorando administrativo interno,Administrativo
urgente hoja de vida institucional,Talento_Humano
solicitud relacionada con solicitud de homologación de materias,Academico
proceso disciplinario prioritario,Juridico
solicitud relacionada con reporte de notas semestrales,Academico
se requiere informe de tesorería,Financiero
solicitud relacionada con reporte contable mensual,Financiero
general hoja de vida institucional,Talento_Humano
contrato laboral interno,Talento_Humano
se requiere matrícula académica ordinaria,Academico
documento asociado a solicitud administrativa interna,Administrativo
acta de reunión administrativa confidencial,Administrativo
solicitud relacionada con orden de pago administrativa,Financiero
afiliación de seguridad social confidencial,Talento_Humano
documento asociado a contrato de prestación de servicios,Juridico
proceso correspondiente a documento legal contractual,Juridico
urgente reporte de ingresos económicos,Financiero
circular administrativa general confidencial,Administrativo
documento asociado a concepto jurídico institucional,Juridico
control de inventario externo,Administrativo
informe de tesorería general,Financiero
proceso correspondiente a acuerdo jurídico,Juridico
externo control de cartera vencida,Financiero
proceso correspondiente a derecho de petición,Juridico
documento asociado a documento legal contractual,Juridico
proceso correspondiente a acta de reunión administrativa,Administrativo
registro de calificaciones prioritario,Academico
prioritario demanda administrativa,Juridico
documento asociado a reporte contable mensual,Financiero
se requiere solicitud de paz y salvo,Academico
solicitud relacionada con informe de tesorería,Financiero
documento asociado a orden de pago administrativa,Financiero
se requiere orden de pago administrativa,Financiero
reporte de notas semestrales confidencial,Academico
proceso disciplinario institucional,Juridico
proceso correspondiente a control de cartera vencida,Financiero
orden de pago administrativa interno,Financiero
memorando administrativo interno urgente,Administrativo
orden de pago administrativa externo,Financiero
proceso correspondiente a reporte de notas semestrales,Academico
solicitud relacionada con concepto jurídico institucional,Juridico
documento asociado a solicitud de presupuesto anual,Financiero
se requiere comprobante de egreso,Financiero
solicitud relacionada con historial académico del estudiante,Academico
comprobante de egreso urgente,Financiero
confidencial documento legal contractual,Juridico
urgente factura de pago institucional,Financiero
externo solicitud de presupuesto anual,Financiero
historial académico del estudiante interno,Academico
se requiere concepto jurídico institucional,Juridico
proceso correspondiente a estado financiero trimestral,Financiero
solicitud relacionada con informe de tesorería,Financiero
general afiliación de seguridad social,Talento_Humano
contrato de prestación de servicios externo,Juridico
proceso correspondiente a reporte de nómina,Talento_Humano
confidencial acta de reunión administrativa,Administrativo
externo acción de tutela,Juridico
externo resolución jurídica,Juridico
documento asociado a orden de pago administrativa,Financiero
se requiere contrato de prestación de servicios,Juridico
se requiere estado financiero trimestral,Financiero
interno acta de grado universitario,Academico
solicitud relacionada con concepto jurídico institucional,Juridico
documento asociado a reporte de notas semestrales,Academico
interno solicitud de homologación de materias,Academico
proceso correspondiente a reporte de notas semestrales,Academico
confidencial registro de calificaciones,Academico
documento asociado a factura de pago institucional,Financiero
documento asociado a reporte de nómina,Talento_Humano
documento asociado a certificación laboral,Talento_Humano
solicitud relacionada con orden de pago administrativa,Financiero
reporte de nómina oficial,Talento_Humano
solicitud relacionada con solicitud de permisos laborales,Talento_Humano
se requiere control de cartera vencida,Financiero
solicitud relacionada con acuerdo jurídico,Juridico
documento asociado a contrato laboral,Talento_Humano
se requiere reporte de gestión administrativa,Administrativo
externo concepto jurídico institucional,Juridico
solicitud relacionada con solicitud de homologación de materias,Academico
general control de inventario,Administrativo
solicitud relacionada con derecho de petición,Juridico
proceso correspondiente a estado financiero trimestral,Financiero
documento asociado a solicitud de paz y salvo,Academico
solicitud relacionada con solicitud de paz y salvo,Academico
cancelación de semestre académico externo,Academico
derecho de petición general,Juridico
notificación judicial externo,Juridico
proceso correspondiente a reporte de gestión administrativa,Administrativo
se requiere control de inventario,Administrativo
proceso correspondiente a contrato de prestación de servicios,Juridico
proceso de selección interno,Talento_Humano
proceso correspondiente a afiliación de seguridad social,Talento_Humano
reporte contable mensual general,Financiero
urgente solicitud de certificado académico,Academico
documento asociado a estado financiero trimestral,Financiero
solicitud relacionada con demanda administrativa,Juridico
documento asociado a hoja de vida institucional,Talento_Humano
documento asociado a resolución jurídica,Juridico
se requiere proceso de selección,Talento_Humano
solicitud relacionada con orden de pago administrativa,Financiero
prioritario reporte de ingresos económicos,Financiero
documento asociado a notificación judicial,Juridico
reporte de ingresos económicos prioritario,Financiero
solicitud relacionada con certificación laboral,Talento_Humano
documento asociado a control de cartera vencida,Financiero
memorando administrativo interno confidencial,Administrativo
documento asociado a acta de grado universitario,Academico
documento asociado a afiliación de seguridad social,Talento_Humano
registro documental interno general,Administrativo
proceso correspondiente a evaluación de desempeño,Talento_Humano
resolución jurídica institucional,Juridico
reporte de gestión administrativa prioritario,Administrativo
proceso correspondiente a solicitud de certificado académico,Academico
se requiere contrato laboral,Talento_Humano
se requiere registro de calificaciones,Academico
se requiere reporte de ingresos económicos,Financiero
acuerdo jurídico interno,Juridico
informe de tesorería prioritario,Financiero
documento asociado a control de cartera vencida,Financiero
general registro de calificaciones,Academico
urgente memorando administrativo interno,Administrativo
se requiere factura de pago institucional,Financiero
institucional acción de tutela,Juridico
se requiere acta de reunión administrativa,Administrativo
se requiere reporte de notas semestrales,Academico
documento asociado a contrato laboral,Talento_Humano
solicitud relacionada con proceso de selección,Talento_Humano
proceso correspondiente a solicitud de permisos laborales,Talento_Humano
solicitud relacionada con concepto jurídico institucional,Juridico
documento asociado a solicitud de permisos laborales,Talento_Humano
se requiere contrato laboral,Talento_Humano
urgente acta de grado universitario,Academico
interno incapacidad médica laboral,Talento_Humano
proceso correspondiente a matrícula académica ordinaria,Academico
proceso correspondiente a solicitud de permisos laborales,Talento_Humano
solicitud relacionada con comprobante de egreso,Financiero
se requiere acta de grado universitario,Academico
interno matrícula académica ordinaria,Academico
control de cartera vencida confidencial,Financiero
estado financiero trimestral general,Financiero
se requiere solicitud de paz y salvo,Academico
solicitud relacionada con documento legal contractual,Juridico
general acta de comité institucional,Administrativo
solicitud relacionada con contrato de prestación de servicios,Juridico
proceso de selección prioritario,Talento_Humano
proceso correspondiente a reporte de gestión administrativa,Administrativo
oficial matrícula académica ordinaria,Academico
solicitud relacionada con incapacidad médica laboral,Talento_Humano
se requiere reporte de notas semestrales,Academico
documento asociado a solicitud de paz y salvo,Academico
documento asociado a hoja de vida institucional,Talento_Humano
solicitud relacionada con circular administrativa general,Administrativo
se requiere balance general financiero,Financiero
prioritario solicitud de paz y salvo,Academico
proceso correspondiente a solicitud de homologación de materias,Academico
cancelación de semestre académico urgente,Academico
documento asociado a reporte de notas semestrales,Academico
se requiere control de cartera vencida,Financiero
certificación laboral confidencial,Talento_Humano
certificado de estudios confidencial,Academico
documento asociado a notificación judicial,Juridico
documento asociado a certificado de estudios,Academico
general solicitud de presupuesto anual,Financiero
se requiere incapacidad médica laboral,Talento_Humano
institucional control de inventario,Administrativo
proceso correspondiente a solicitud de certificado académico,Academico
se requiere proceso disciplinario,Juridico
acta de comité institucional general,Administrativo
documento asociado a notificación judicial,Juridico
se requiere historial académico del estudiante,Academico
documento asociado a plan operativo institucional,Administrativo
solicitud relacionada con derecho de petición,Juridico
documento asociado a certificación laboral,Talento_Humano
acta de grado universitario general,Academico
solicitud relacionada con acta de comité institucional,Administrativo
general control de cartera vencida,Financiero
solicitud de paz y salvo oficial,Academico
proceso correspondiente a proceso disciplinario,Juridico
acta de grado universitario interno,Academico
se requiere solicitud de presupuesto anual,Financiero
reporte de nómina interno,Talento_Humano
solicitud relacionada con afiliación de seguridad social,Talento_Humano
solicitud relacionada con plan operativo institucional,Administrativo
proceso correspondiente a acta de comité institucional,Administrativo
solicitud relacionada con control de inventario,Administrativo
oficial reporte contable mensual,Financiero
proceso correspondiente a reporte de nómina,Talento_Humano
proceso correspondiente a evaluación de desempeño,Talento_Humano
proceso correspondiente a incapacidad médica laboral,Talento_Humano
confidencial proceso disciplinario,Juridico
solicitud relacionada con contrato laboral,Talento_Humano
institucional orden de pago administrativa,Financiero
proceso correspondiente a reporte de gestión administrativa,Administrativo
reporte de nómina urgente,Talento_Humano
documento asociado a factura de pago institucional,Financiero
comunicado organizacional oficial,Administrativo
solicitud relacionada con plan operativo institucional,Administrativo
proceso correspondiente a acta de comité institucional,Administrativo
confidencial factura de pago institucional,Financiero
proceso correspondiente a registro documental interno,Administrativo
solicitud relacionada con comprobante de egreso,Financiero
solicitud relacionada con documento legal contractual,Juridico
derecho de petición institucional,Juridico
solicitud relacionada con acta de reunión administrativa,Administrativo
solicitud relacionada con orden de pago administrativa,Financiero
orden de pago administrativa institucional,Financiero
confidencial solicitud de vacaciones,Talento_Humano
interno factura de pago institucional,Financiero
se requiere registro de calificaciones,Academico
se requiere balance general financiero,Financiero
documento asociado a matrícula académica ordinaria,Academico
documento asociado a solicitud de vacaciones,Talento_Humano
prioritario evaluación de desempeño,Talento_Humano
oficial hoja de vida institucional,Talento_Humano
documento asociado a comprobante de egreso,Financiero
derecho de petición confidencial,Juridico
confidencial certificación laboral,Talento_Humano
solicitud relacionada con demanda administrativa,Juridico
institucional reporte de ingresos económicos,Financiero
institucional acuerdo jurídico,Juridico
solicitud de paz y salvo externo,Academico
se requiere solicitud de paz y salvo,Academico
se requiere acta de reunión administrativa,Administrativo
documento asociado a acción de tutela,Juridico
solicitud de permisos laborales prioritario,Talento_Humano
documento asociado a circular administrativa general,Administrativo
oficial solicitud de vacaciones,Talento_Humano
proceso correspondiente a solicitud de permisos laborales,Talento_Humano
notificación judicial institucional,Juridico
prioritario circular administrativa general,Administrativo
certificado de estudios prioritario,Academico
solicitud relacionada con incapacidad médica laboral,Talento_Humano
hoja de vida institucional interno,Talento_Humano
solicitud relacionada con control de inventario,Administrativo
confidencial afiliación de seguridad social,Talento_Humano
proceso correspondiente a estado financiero trimestral,Financiero
proceso correspondiente a proceso disciplinario,Juridico
acta de grado universitario prioritario,Academico
certificado de estudios urgente,Academico
solicitud relacionada con orden de pago administrativa,Financiero
solicitud relacionada con registro de calificaciones,Academico
proceso correspondiente a certificación laboral,Talento_Humano
solicitud relacionada con reporte de gestión administrativa,Administrativo
institucional comunicado organizacional,Administrativo
documento asociado a historial académico del estudiante,Academico
proceso correspondiente a solicitud de paz y salvo,Academico
se requiere proceso de selección,Talento_Humano
se requiere reporte de gestión administrativa,Administrativo
documento asociado a solicitud de permisos laborales,Talento_Humano
plan operativo institucional confidencial,Administrativo
documento asociado a proceso de selección,Talento_Humano
proceso correspondiente a reporte de gestión administrativa,Administrativo
proceso correspondiente a concepto jurídico institucional,Juridico
documento asociado a solicitud administrativa interna,Administrativo
documento asociado a notificación judicial,Juridico
institucional demanda administrativa,Juridico
proceso correspondiente a reporte de gestión administrativa,Administrativo
se requiere proceso de selección,Talento_Humano
institucional plan operativo institucional,Administrativo
solicitud relacionada con solicitud de vacaciones,Talento_Humano
acta de comité institucional oficial,Administrativo
proceso correspondiente a matrícula académica ordinaria,Academico
institucional documento legal contractual,Juridico
documento asociado a comunicado organizacional,Administrativo
se requiere demanda administrativa,Juridico
proceso correspondiente a solicitud de permisos laborales,Talento_Humano
documento asociado a derecho de petición,Juridico
urgente reporte de gestión administrativa,Administrativo
proceso correspondiente a afiliación de seguridad social,Talento_Humano
proceso correspondiente a proceso de selección,Talento_Humano
reporte de gestión administrativa general,Administrativo
solicitud relacionada con acta de comité institucional,Administrativo
control de inventario interno,Administrativo
documento asociado a evaluación de desempeño,Talento_Humano
prioritario plan operativo institucional,Administrativo
confidencial circular administrativa general,Administrativo
se requiere plan operativo institucional,Administrativo
se requiere contrato laboral,Talento_Humano
reporte de ingresos económicos institucional,Financiero
solicitud relacionada con certificado de estudios,Academico
solicitud relacionada con informe de tesorería,Financiero
proceso correspondiente a reporte de gestión administrativa,Administrativo
documento asociado a certificación laboral,Talento_Humano
proceso correspondiente a resolución jurídica,Juridico
proceso correspondiente a contrato de prestación de servicios,Juridico
se requiere reporte de ingresos económicos,Financiero
prioritario solicitud de homologación de materias,Academico
documento asociado a evaluación de desempeño,Talento_Humano
general reporte de ingresos económicos,Financiero
solicitud administrativa interna urgente,Administrativo
proceso correspondiente a certificación laboral,Talento_Humano
solicitud relacionada con contrato laboral,Talento_Humano
proceso correspondiente a certificado de estudios,Academico
solicitud relacionada con comprobante de egreso,Financiero
general control de inventario,Administrativo
documento asociado a circular administrativa general,Administrativo
proceso correspondiente a concepto jurídico institucional,Juridico
solicitud relacionada con documento legal contractual,Juridico
proceso correspondiente a concepto jurídico institucional,Juridico
solicitud relacionada con afiliación de seguridad social,Talento_Humano
proceso correspondiente a acta de grado universitario,Academico
se requiere contrato laboral,Talento_Humano
proceso correspondiente a memorando administrativo interno,Administrativo
solicitud relacionada con concepto jurídico institucional,Juridico
documento asociado a proceso disciplinario,Juridico
se requiere reporte de ingresos económicos,Financiero
externo registro de calificaciones,Academico
se requiere registro documental interno,Administrativo
documento asociado a reporte de ingresos económicos,Financiero
cancelación de semestre académico urgente,Academico
solicitud relacionada con documento legal contractual,Juridico
proceso correspondiente a memorando administrativo interno,Administrativo
se requiere solicitud de presupuesto anual,Financiero
solicitud relacionada con incapacidad médica laboral,Talento_Humano
proceso correspondiente a comprobante de egreso,Financiero
derecho de petición urgente,Juridico
se requiere historial académico del estudiante,Academico
documento asociado a contrato de prestación de servicios,Juridico
solicitud relacionada con control de cartera vencida,Financiero
proceso correspondiente a acta de comité institucional,Administrativo
se requiere solicitud de homologación de materias,Academico
proceso correspondiente a orden de pago administrativa,Financiero
proceso correspondiente a proceso disciplinario,Juridico
acta de comité institucional institucional,Administrativo
proceso correspondiente a comprobante de egreso,Financiero
prioritario reporte de notas semestrales,Academico
orden de pago administrativa externo,Financiero
se requiere registro documental interno,Administrativo
reporte de notas semestrales confidencial,Academico
proceso correspondiente a reporte contable mensual,Financiero
interno certificado de estudios,Academico
se requiere acuerdo jurídico,Juridico
solicitud relacionada con incapacidad médica laboral,Talento_Humano
documento asociado a notificación judicial,Juridico
se requiere solicitud de paz y salvo,Academico
documento asociado a matrícula académica ordinaria,Academico
documento asociado a contrato de prestación de servicios,Juridico
oficial certificado de estudios,Academico
proceso correspondiente a comunicado organizacional,Administrativo
solicitud relacionada con acción de tutela,Juridico
se requiere control de inventario,Administrativo
documento asociado a contrato de prestación de servicios,Juridico
control de cartera vencida confidencial,Financiero
documento asociado a reporte de ingresos económicos,Financiero
prioritario acta de grado universitario,Academico
se requiere notificación judicial,Juridico
solicitud de homologación de materias interno,Academico
solicitud relacionada con acta de reunión administrativa,Administrativo
acuerdo jurídico prioritario,Juridico
general reporte de notas semestrales,Academico
historial académico del estudiante confidencial,Academico
urgente certificación laboral,Talento_Humano
documento asociado a proceso de selección,Talento_Humano
derecho de petición institucional,Juridico
proceso correspondiente a reporte de ingresos económicos,Financiero
solicitud relacionada con derecho de petición,Juridico
hoja de vida institucional institucional,Talento_Humano
proceso correspondiente a control de cartera vencida,Financiero
solicitud relacionada con contrato laboral,Talento_Humano
contrato laboral institucional,Talento_Humano
interno balance general financiero,Financiero
solicitud relacionada con informe de tesorería,Financiero
se requiere plan operativo institucional,Administrativo
proceso correspondiente a certificado de estudios,Academico
contrato de prestación de servicios oficial,Juridico
se requiere control de inventario,Administrativo
externo certificación laboral,Talento_Humano
proceso correspondiente a demanda administrativa,Juridico
notificación judicial general,Juridico
solicitud relacionada con solicitud de certificado académico,Academico
se requiere matrícula académica ordinaria,Academico
se requiere memorando administrativo interno,Administrativo
documento asociado a orden de pago administrativa,Financiero
proceso correspondiente a proceso de selección,Talento_Humano
proceso correspondiente a documento legal contractual,Juridico
solicitud relacionada con registro de calificaciones,Academico
oficial reporte de nómina,Talento_Humano
confidencial derecho de petición,Juridico
proceso correspondiente a reporte de gestión administrativa,Administrativo
proceso correspondiente a informe de tesorería,Financiero
interno plan operativo institucional,Administrativo
solicitud relacionada con comunicado organizacional,Administrativo
solicitud relacionada con solicitud de homologación de materias,Academico
documento asociado a solicitud de presupuesto anual,Financiero
proceso correspondiente a reporte de gestión administrativa,Administrativo
se requiere certificado de estudios,Academico
proceso correspondiente a solicitud administrativa interna,Administrativo
solicitud relacionada con afiliación de seguridad social,Talento_Humano
registro documental interno institucional,Administrativo
solicitud relacionada con orden de pago administrativa,Financiero
proceso correspondiente a balance general financiero,Financiero
general hoja de vida institucional,Talento_Humano
demanda administrativa oficial,Juridico
se requiere solicitud de paz y salvo,Academico
reporte contable mensual interno,Financiero
se requiere contrato laboral,Talento_Humano
institucional concepto jurídico institucional,Juridico
proceso correspondiente a proceso de selección,Talento_Humano
documento asociado a contrato laboral,Talento_Humano
documento asociado a solicitud de presupuesto anual,Financiero
se requiere evaluación de desempeño,Talento_Humano
proceso correspondiente a solicitud administrativa interna,Administrativo
proceso correspondiente a plan operativo institucional,Administrativo
confidencial balance general financiero,Financiero
proceso correspondiente a certificación laboral,Talento_Humano
documento asociado a estado financiero trimestral,Financiero
general solicitud de vacaciones,Talento_Humano
confidencial reporte de nómina,Talento_Humano
comunicado organizacional externo,Administrativo
se requiere balance general financiero,Financiero
prioritario cancelación de semestre académico,Academico
solicitud relacionada con certificado de estudios,Academico
solicitud relacionada con reporte de notas semestrales,Academico
externo acción de tutela,Juridico
documento asociado a derecho de petición,Juridico
solicitud relacionada con certificación laboral,Talento_Humano
documento asociado a afiliación de seguridad social,Talento_Humano
solicitud relacionada con proceso disciplinario,Juridico
solicitud relacionada con certificación laboral,Talento_Humano
proceso correspondiente a solicitud administrativa interna,Administrativo
proceso correspondiente a concepto jurídico institucional,Juridico
solicitud relacionada con certificado de estudios,Academico
reporte de notas semestrales confidencial,Academico
documento asociado a demanda administrativa,Juridico
documento asociado a reporte de gestión administrativa,Administrativo
se requiere solicitud de certificado académico,Academico
estado financiero trimestral prioritario,Financiero
se requiere reporte contable mensual,Financiero
solicitud de permisos laborales prioritario,Talento_Humano
se requiere historial académico del estudiante,Academico
oficial contrato de prestación de servicios,Juridico
proceso correspondiente a contrato de prestación de servicios,Juridico
afiliación de seguridad social general,Talento_Humano
se requiere acta de grado universitario,Academico
solicitud relacionada con orden de pago administrativa,Financiero
se requiere afiliación de seguridad social,Talento_Humano
se requiere matrícula académica ordinaria,Academico
interno derecho de petición,Juridico
proceso correspondiente a acta de reunión administrativa,Administrativo
solicitud de certificado académico general,Academico
proceso correspondiente a hoja de vida institucional,Talento_Humano
solicitud relacionada con comunicado organizacional,Administrativo
se requiere contrato de prestación de servicios,Juridico
externo circular administrativa general,Administrativo
proceso correspondiente a cancelación de semestre académico,Academico
se requiere afiliación de seguridad social,Talento_Humano
oficial acta de grado universitario,Academico
documento asociado a plan operativo institucional,Administrativo
proceso correspondiente a certificado de estudios,Academico
solicitud relacionada con certificación laboral,Talento_Humano
proceso correspondiente a acta de reunión administrativa,Administrativo
confidencial comprobante de egreso,Financiero
certificación laboral prioritario,Talento_Humano
prioritario reporte contable mensual,Financiero
derecho de petición institucional,Juridico
factura de pago institucional urgente,Financiero
proceso correspondiente a concepto jurídico institucional,Juridico
institucional reporte de ingresos económicos,Financiero
institucional acta de comité institucional,Administrativo
acta de reunión administrativa externo,Administrativo
urgente control de cartera vencida,Financiero
solicitud relacionada con certificación laboral,Talento_Humano
solicitud relacionada con solicitud de presupuesto anual,Financiero
solicitud relacionada con informe de tesorería,Financiero
estado financiero trimestral urgente,Financiero
documento asociado a circular administrativa general,Administrativo
proceso correspondiente a evaluación de desempeño,Talento_Humano
general solicitud de paz y salvo,Academico
externo informe de tesorería,Financiero
proceso correspondiente a memorando administrativo interno,Administrativo
se requiere reporte de notas semestrales,Academico
proceso correspondiente a documento legal contractual,Juridico
documento asociado a acuerdo jurídico,Juridico
solicitud relacionada con reporte de notas semestrales,Academico
solicitud relacionada con afiliación de seguridad social,Talento_Humano
urgente proceso disciplinario,Juridico
documento asociado a acta de comité institucional,Administrativo
interno registro de calificaciones,Academico
proceso correspondiente a informe de tesorería,Financiero
estado financiero trimestral confidencial,Financiero
documento asociado a comprobante de egreso,Financiero
acta de grado universitario general,Academico
se requiere contrato de prestación de servicios,Juridico
proceso correspondiente a reporte contable mensual,Financiero
proceso correspondiente a balance general financiero,Financiero
solicitud relacionada con matrícula académica ordinaria,Academico
documento asociado a contrato de prestación de servicios,Juridico
se requiere balance general financiero,Financiero
se requiere reporte de ingresos económicos,Financiero
documento asociado a afiliación de seguridad social,Talento_Humano
oficial control de cartera vencida,Financiero
memorando administrativo interno prioritario,Administrativo
solicitud de permisos laborales institucional,Talento_Humano
oficial acción de tutela,Juridico
se requiere resolución jurídica,Juridico
institucional notificación judicial,Juridico
documento asociado a solicitud de presupuesto anual,Financiero
solicitud relacionada con contrato de prestación de servicios,Juridico
se requiere reporte de gestión administrativa,Administrativo
se requiere cancelación de semestre académico,Academico
solicitud relacionada con historial académico del estudiante,Academico
documento asociado a demanda administrativa,Juridico
documento asociado a evaluación de desempeño,Talento_Humano
